date,soil_moisture,soil_moisture_class
2024-06-03,0.4118333333333333,High
2024-06-04,0.3947916666666666,Medium
2024-06-05,0.3809583333333333,Medium
2024-06-06,0.3805833333333333,Medium
2024-06-07,0.356875,Low
2024-06-08,0.3476666666666666,Low
2024-06-09,0.3515416666666666,Low
2024-06-10,0.330125,Low
2024-06-11,0.3105,Low
2024-06-12,0.3052499999999999,Low
2024-06-13,0.2920833333333333,Low
2024-06-14,0.2982083333333333,Low
2024-06-15,0.3765,Medium
2024-06-16,0.3552083333333333,Low
2024-06-17,0.357375,Low
2024-06-18,0.343375,Low
2024-06-19,0.3785416666666667,Medium
2024-06-20,0.3518333333333333,Low
2024-06-21,0.3547083333333333,Low
2024-06-22,0.37775,Medium
2024-06-23,0.371625,Medium
2024-06-24,0.348875,Low
2024-06-25,0.3237916666666666,Low
2024-06-26,0.3203333333333333,Low
2024-06-27,0.386875,Medium
2024-06-28,0.3860833333333333,Medium
2024-06-29,0.3645416666666667,Medium
2024-06-30,0.383375,Medium
2024-07-01,0.4010833333333334,High
2024-07-02,0.3855,Medium
2024-07-03,0.4176249999999999,High
2024-07-04,0.4157916666666666,High
2024-07-05,0.3943333333333333,Medium
2024-07-06,0.3979583333333333,High
2024-07-07,0.4005833333333333,High
2024-07-08,0.3783333333333333,Medium
2024-07-09,0.351,Low
2024-07-10,0.3660416666666666,Medium
2024-07-11,0.3895833333333333,Medium
2024-07-12,0.3926666666666666,Medium
2024-07-13,0.384625,Medium
2024-07-14,0.3617083333333333,Low
2024-07-15,0.3447083333333333,Low
2024-07-16,0.360125,Low
2024-07-17,0.338625,Low
2024-07-18,0.3184583333333333,Low
2024-07-19,0.299375,Low
2024-07-20,0.36,Low
2024-07-21,0.3402916666666666,Low
2024-07-22,0.3526249999999999,Low
2024-07-23,0.3504583333333333,Low
2024-07-24,0.3344583333333333,Low
2024-07-25,0.311125,Low
2024-07-26,0.2892083333333333,Low
2024-07-27,0.2930416666666666,Low
2024-07-28,0.318125,Low
2024-07-29,0.2899166666666666,Low
2024-07-30,0.26675,Low
2024-07-31,0.24875,Low
