LAND_USE,SOIL_TYPE,PROXIMITY_TO_FOREST,PROXIMITY_TO_RIVER,SLOPE,ELEVATION,STREET_DENSITY,Flood
Greenland,T,Medium,High,High,Low,High,0.583005571875
Greenland,Unknown,Low,High,High,High,High,0.5823845871250001
Greenland,Unknown,Low,High,High,High,High,0.5823845871250001
Greenland,T,Medium,High,High,Low,Medium,0.5822749835312501
Farmland,LT,Medium,High,High,Low,High,0.581162859375
Farmland,LT,Medium,High,High,Low,High,0.581162859375
Greenland,L,Low,High,High,High,High,0.58061241835
Greenland,L,Low,High,High,High,High,0.58061241835
Greenland,Unknown,High,High,High,Low,High,0.5792677084375001
Farmland,Unknown,Low,High,High,High,High,0.578840249575
Farmland,T,High,High,Medium,Medium,High,0.5783568758125
Farmland,T,High,High,Medium,Medium,High,0.5783568758125
Farmland,T,High,High,Medium,Medium,High,0.5783568758125
Greenland,T,High,High,Medium,Medium,High,0.5783568758125
Greenland,T,High,High,Medium,Medium,High,0.5783568758125
Farmland,T,High,High,Medium,Medium,High,0.5783568758125
Farmland,L,Medium,High,High,Low,High,0.5780916718750001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
Greenland,T,Low,High,High,High,High,0.5778587407150001
